Frequency (Hz)	Level (dB)
7.812500	-79.006355
15.625000	-75.342354
23.437500	-72.478111
31.250000	-71.056641
39.062500	-69.870361
46.875000	-67.877518
54.687500	-65.713150
62.500000	-64.694603
70.312500	-64.534966
78.125000	-64.085320
85.937500	-63.792236
93.750000	-63.388081
101.562500	-62.739475
109.375000	-62.337521
117.187500	-61.810272
125.000000	-61.287354
132.812500	-61.180695
140.625000	-60.760799
148.437500	-60.396938
156.250000	-59.993912
164.062500	-59.642391
171.875000	-58.936733
179.687500	-58.242897
187.500000	-57.753735
195.312500	-57.013596
203.125000	-55.915131
210.937500	-54.955914
218.750000	-53.823383
226.562500	-52.147713
234.375000	-50.600163
242.187500	-48.918751
250.000000	-46.927738
257.812500	-45.251072
265.625000	-44.586018
273.437500	-44.930847
281.250000	-46.508343
289.062500	-48.593231
296.875000	-50.170380
304.687500	-51.962498
312.500000	-52.899807
320.312500	-53.470634
328.125000	-54.566013
335.937500	-55.486443
343.750000	-55.840263
351.562500	-56.479603
359.375000	-56.497921
367.187500	-57.075584
375.000000	-57.249947
382.812500	-57.155758
390.625000	-57.434608
398.437500	-56.985565
406.250000	-56.902737
414.062500	-56.830109
421.875000	-56.874718
429.687500	-56.568924
437.500000	-56.117210
445.312500	-55.763515
453.125000	-55.049465
460.937500	-54.466595
468.750000	-53.316357
476.562500	-52.499790
484.375000	-51.768650
492.187500	-50.473118
500.000000	-48.521358
507.812500	-46.949490
515.625000	-45.119022
523.437500	-43.315552
531.250000	-42.525578
539.062500	-43.030384
546.875000	-45.014915
554.687500	-46.786041
562.500000	-48.352146
570.312500	-49.852539
578.125000	-51.051174
585.937500	-51.883957
593.750000	-52.539520
601.562500	-53.367752
609.375000	-53.984196
617.187500	-54.519947
625.000000	-54.655212
632.812500	-55.324841
640.625000	-55.559574
648.437500	-55.759892
656.250000	-55.608337
664.062500	-55.922272
671.875000	-55.794075
679.687500	-55.404408
687.500000	-55.576542
695.312500	-55.097855
703.125000	-54.741043
710.937500	-53.975479
718.750000	-53.580280
726.562500	-53.259708
734.375000	-52.068871
742.187500	-51.265263
750.000000	-50.429905
757.812500	-49.006256
765.625000	-47.543690
773.437500	-45.612564
781.250000	-43.779846
789.062500	-41.905895
796.875000	-40.439053
804.687500	-40.763405
812.500000	-42.311718
820.312500	-44.046410
828.125000	-45.603424
835.937500	-47.225571
843.750000	-48.848713
851.562500	-49.936756
859.375000	-50.688007
867.187500	-51.370514
875.000000	-52.251240
882.812500	-53.162563
890.625000	-53.196846
898.437500	-53.212502
906.250000	-53.413181
914.062500	-53.588463
921.875000	-54.005596
929.687500	-53.753593
937.500000	-53.767895
945.312500	-53.526020
953.125000	-53.273521
960.937500	-52.981510
968.750000	-52.818901
976.562500	-52.361332
984.375000	-51.620914
992.187500	-51.307400
1000.000000	-50.439354
1007.812500	-49.706520
1015.625000	-48.384525
1023.437500	-46.680908
1031.250000	-44.892765
1039.062500	-43.288967
1046.875000	-41.600899
1054.687500	-40.061169
1062.500000	-38.911400
1070.312500	-39.743553
1078.125000	-41.384243
1085.937500	-43.178013
1093.750000	-44.756649
1101.562500	-45.807278
1109.375000	-46.671421
1117.187500	-47.595581
1125.000000	-48.733559
1132.812500	-49.606705
1140.625000	-50.423756
1148.437500	-51.033401
1156.250000	-51.553391
1164.062500	-51.890221
1171.875000	-52.499523
1179.687500	-52.945812
1187.500000	-53.113098
1195.312500	-52.926964
1203.125000	-52.955822
1210.937500	-52.477985
1218.750000	-52.509315
1226.562500	-52.054932
1234.375000	-51.707867
1242.187500	-51.258224
1250.000000	-50.525581
1257.812500	-49.870026
1265.625000	-49.244118
1273.437500	-48.089310
1281.250000	-47.028503
1289.062500	-45.610958
1296.875000	-44.012058
1304.687500	-42.108440
1312.500000	-40.025867
1320.312500	-38.217098
1328.125000	-37.085083
1335.937500	-37.838154
1343.750000	-39.590912
1351.562500	-41.541462
1359.375000	-43.303974
1367.187500	-44.863316
1375.000000	-46.095417
1382.812500	-46.786293
1390.625000	-48.451618
1398.437500	-49.146599
1406.250000	-49.424820
1414.062500	-49.603390
1421.875000	-49.853764
1429.687500	-50.162704
1437.500000	-50.064571
1445.312500	-50.196140
1453.125000	-50.486046
1460.937500	-50.767780
1468.750000	-50.532536
1476.562500	-50.260429
1484.375000	-50.170010
1492.187500	-50.266567
1500.000000	-49.798050
1507.812500	-49.464005
1515.625000	-49.277756
1523.437500	-48.583115
1531.250000	-47.632824
1539.062500	-46.520546
1546.875000	-45.269958
1554.687500	-43.846260
1562.500000	-42.386303
1570.312500	-40.737816
1578.125000	-38.908031
1585.937500	-36.770863
1593.750000	-35.447208
1601.562500	-35.969463
1609.375000	-37.282238
1617.187500	-39.277256
1625.000000	-40.849949
1632.812500	-42.290070
1640.625000	-43.532326
1648.437500	-45.027321
1656.250000	-46.203976
1664.062500	-47.067619
1671.875000	-47.291679
1679.687500	-47.666771
1687.500000	-47.889927
1695.312500	-48.278946
1703.125000	-48.750019
1710.937500	-48.843990
1718.750000	-48.830704
1726.562500	-48.936020
1734.375000	-48.502262
1742.187500	-48.104191
1750.000000	-48.297924
1757.812500	-48.045135
1765.625000	-47.652554
1773.437500	-47.179512
1781.250000	-46.414398
1789.062500	-45.662628
1796.875000	-45.011044
1804.687500	-44.237087
1812.500000	-43.209042
1820.312500	-41.804531
1828.125000	-40.761059
1835.937500	-38.786484
1843.750000	-36.921318
1851.562500	-34.914574
1859.375000	-33.724628
1867.187500	-33.885338
1875.000000	-35.546604
1882.812500	-37.489429
1890.625000	-38.718376
1898.437500	-39.950882
1906.250000	-41.644745
1914.062500	-42.965176
1921.875000	-43.567055
1929.687500	-44.444515
1937.500000	-45.026474
1945.312500	-45.288635
1953.125000	-45.694088
1960.937500	-45.907059
1968.750000	-46.132725
1976.562500	-46.556499
1984.375000	-46.765945
1992.187500	-46.363888
2000.000000	-46.230656
2007.812500	-46.119476
2015.625000	-45.723537
2023.437500	-45.410461
2031.250000	-45.110619
2039.062500	-44.553799
2046.875000	-44.429993
2054.687500	-43.798656
2062.500000	-42.832211
2070.312500	-41.671459
2078.125000	-40.485920
2085.937500	-39.303711
2093.750000	-37.862667
2101.562500	-35.935547
2109.375000	-34.192810
2117.187500	-32.347969
2125.000000	-31.154896
2132.812500	-31.283434
2140.625000	-32.977814
2148.437500	-34.733349
2156.250000	-36.545864
2164.062500	-37.864265
2171.875000	-39.298847
2179.687500	-40.310028
2187.500000	-40.970806
2195.312500	-41.687103
2203.125000	-42.403469
2210.937500	-42.621132
2218.750000	-43.139122
2226.562500	-43.872719
2234.375000	-43.868275
2242.187500	-44.176025
2250.000000	-43.988831
2257.812500	-43.961498
2265.625000	-43.748375
2273.437500	-43.493793
2281.250000	-43.257290
2289.062500	-43.249050
2296.875000	-42.640121
2304.687500	-42.400383
2312.500000	-41.850594
2320.312500	-41.144218
2328.125000	-40.048508
2335.937500	-39.274624
2343.750000	-38.080070
2351.562500	-36.733662
2359.375000	-35.524399
2367.187500	-33.941029
2375.000000	-31.981750
2382.812500	-30.165087
2390.625000	-29.421991
2398.437500	-29.650705
2406.250000	-30.434940
2414.062500	-32.280560
2421.875000	-33.902287
2429.687500	-35.244301
2437.500000	-36.498962
2445.312500	-37.304661
2453.125000	-38.223969
2460.937500	-38.909813
2468.750000	-39.747543
2476.562500	-40.189121
2484.375000	-40.738312
2492.187500	-40.742924
2500.000000	-41.011642
2507.812500	-41.399273
2515.625000	-41.256161
2523.437500	-40.998085
2531.250000	-41.268082
2539.062500	-41.458092
2546.875000	-41.014870
2554.687500	-40.799850
2562.500000	-40.649639
2570.312500	-40.179874
2578.125000	-39.170418
2585.937500	-38.386147
2593.750000	-37.721561
2601.562500	-36.846451
2609.375000	-35.683285
2617.187500	-34.464062
2625.000000	-33.232121
2632.812500	-31.611179
2640.625000	-29.572258
2648.437500	-27.937193
2656.250000	-27.040451
2664.062500	-27.115650
2671.875000	-28.494583
2679.687500	-30.180258
2687.500000	-31.557739
2695.312500	-33.021763
2703.125000	-34.333454
2710.937500	-35.080711
2718.750000	-36.049595
2726.562500	-36.977947
2734.375000	-37.080029
2742.187500	-37.694115
2750.000000	-38.065773
2757.812500	-38.222519
2765.625000	-38.387161
2773.437500	-38.414486
2781.250000	-38.731937
2789.062500	-39.084412
2796.875000	-38.857632
2804.687500	-38.626534
2812.500000	-38.402508
2820.312500	-38.136505
2828.125000	-37.533981
2835.937500	-37.463501
2843.750000	-36.631725
2851.562500	-35.878754
2859.375000	-35.027790
2867.187500	-34.309616
2875.000000	-32.982014
2882.812500	-32.401405
2890.625000	-30.867607
2898.437500	-29.513744
2906.250000	-28.126644
2914.062500	-26.356590
2921.875000	-25.448309
2929.687500	-25.864494
2937.500000	-26.986994
2945.312500	-28.199173
2953.125000	-29.792978
2960.937500	-30.818533
2968.750000	-31.667889
2976.562500	-32.669674
2984.375000	-33.879337
2992.187500	-34.805061
3000.000000	-35.522385
3007.812500	-35.927177
3015.625000	-36.061058
3023.437500	-36.146034
3031.250000	-36.420395
3039.062500	-36.841255
3046.875000	-37.012001
3054.687500	-37.289970
3062.500000	-37.058273
3070.312500	-36.992664
3078.125000	-37.059158
3085.937500	-36.635067
3093.750000	-36.234516
3101.562500	-36.233337
3109.375000	-35.941319
3117.187500	-35.350075
3125.000000	-34.579014
3132.812500	-33.546642
3140.625000	-33.045055
3148.437500	-31.990984
3156.250000	-31.075260
3164.062500	-29.862928
3171.875000	-28.522594
3179.687500	-27.933121
3187.500000	-27.010082
3195.312500	-26.709286
3203.125000	-27.529308
3210.937500	-28.930721
3218.750000	-30.390560
3226.562500	-31.775640
3234.375000	-33.086338
3242.187500	-34.237610
3250.000000	-35.426250
3257.812500	-36.300220
3265.625000	-37.089882
3273.437500	-38.072701
3281.250000	-38.805450
3289.062500	-39.271061
3296.875000	-39.301075
3304.687500	-39.792355
3312.500000	-40.317055
3320.312500	-40.590408
3328.125000	-40.904861
3335.937500	-41.343525
3343.750000	-41.062473
3351.562500	-41.267521
3359.375000	-41.420280
3367.187500	-41.381046
