Frequency (Hz)	Level (dB)
7.812500	-78.110809
15.625000	-75.272125
23.437500	-72.560730
31.250000	-71.596146
39.062500	-70.782555
46.875000	-68.840744
54.687500	-66.465965
62.500000	-65.482086
70.312500	-65.522682
78.125000	-64.867455
85.937500	-64.595955
93.750000	-63.920204
101.562500	-62.939766
109.375000	-62.429790
117.187500	-61.192993
125.000000	-60.419426
132.812500	-60.283283
140.625000	-59.530281
148.437500	-58.701244
156.250000	-57.792072
164.062500	-56.983910
171.875000	-55.842857
179.687500	-54.619987
187.500000	-53.125965
195.312500	-51.324215
203.125000	-48.805962
210.937500	-46.353252
218.750000	-44.498581
226.562500	-43.970860
234.375000	-45.235870
242.187500	-47.616241
250.000000	-49.747875
257.812500	-51.589230
265.625000	-53.244831
273.437500	-54.012524
281.250000	-54.887905
289.062500	-55.703358
296.875000	-56.158092
304.687500	-56.837177
312.500000	-56.832859
320.312500	-56.627956
328.125000	-57.032040
335.937500	-57.225670
343.750000	-56.941467
351.562500	-56.804443
359.375000	-56.168610
367.187500	-56.146160
375.000000	-55.598579
382.812500	-54.743488
390.625000	-54.093830
398.437500	-52.666260
406.250000	-51.447376
414.062500	-49.915276
421.875000	-48.214344
429.687500	-45.904854
437.500000	-43.387146
445.312500	-41.953304
453.125000	-42.353527
460.937500	-44.460918
468.750000	-46.581871
476.562500	-48.636314
484.375000	-50.697098
492.187500	-51.971970
500.000000	-52.443153
507.812500	-53.404686
515.625000	-54.192703
523.437500	-54.568554
531.250000	-54.984219
539.062500	-55.302364
546.875000	-55.763733
554.687500	-55.699306
562.500000	-55.568012
570.312500	-55.531227
578.125000	-55.295216
585.937500	-54.790688
593.750000	-54.161613
601.562500	-53.773357
609.375000	-53.071278
617.187500	-52.164955
625.000000	-50.855072
632.812500	-49.899323
640.625000	-48.259792
648.437500	-46.268665
656.250000	-43.883606
664.062500	-41.915665
671.875000	-40.766609
679.687500	-41.303989
687.500000	-43.713360
695.312500	-45.959103
703.125000	-47.867516
710.937500	-49.185127
718.750000	-50.485554
726.562500	-51.883717
734.375000	-52.281872
742.187500	-52.986198
750.000000	-53.662239
757.812500	-53.890511
765.625000	-54.059986
773.437500	-54.025131
781.250000	-54.038177
789.062500	-54.040039
796.875000	-53.467266
804.687500	-53.316284
812.500000	-53.018051
820.312500	-52.313877
828.125000	-51.485935
835.937500	-51.101189
843.750000	-50.517223
851.562500	-49.165798
859.375000	-47.416336
867.187500	-45.290955
875.000000	-43.134903
882.812500	-40.819981
890.625000	-38.766850
898.437500	-39.128777
906.250000	-41.407581
914.062500	-43.797291
921.875000	-46.179893
929.687500	-47.473408
937.500000	-48.768391
945.312500	-49.730446
953.125000	-50.546799
960.937500	-51.185390
968.750000	-51.888145
976.562500	-52.305611
984.375000	-52.363338
992.187500	-52.881641
1000.000000	-52.914970
1007.812500	-53.052906
1015.625000	-52.685966
1023.437500	-52.090847
1031.250000	-51.461681
1039.062500	-51.143513
1046.875000	-50.812920
1054.687500	-50.182613
1062.500000	-48.913479
1070.312500	-47.962505
1078.125000	-46.634430
1085.937500	-44.929996
1093.750000	-42.572105
1101.562500	-39.552769
1109.375000	-36.632816
1117.187500	-35.737942
1125.000000	-37.256462
1132.812500	-40.081902
1140.625000	-42.871162
1148.437500	-44.978279
1156.250000	-46.704693
1164.062500	-48.019547
1171.875000	-49.400875
1179.687500	-50.543453
1187.500000	-51.234177
1195.312500	-51.477715
1203.125000	-51.892719
