Frequency (Hz)	Level (dB)
7.812500	-82.199867
15.625000	-77.112915
23.437500	-74.053017
31.250000	-72.612267
39.062500	-71.260597
46.875000	-68.834137
54.687500	-66.239120
62.500000	-65.330894
70.312500	-65.872169
78.125000	-65.649872
85.937500	-65.503151
93.750000	-65.451683
101.562500	-64.868347
109.375000	-64.799133
117.187500	-65.312149
125.000000	-65.018356
132.812500	-64.870758
140.625000	-64.767624
148.437500	-64.832214
156.250000	-65.072243
164.062500	-65.234184
171.875000	-65.082603
179.687500	-65.099342
187.500000	-65.431992
195.312500	-65.578247
203.125000	-65.550964
210.937500	-65.689270
218.750000	-65.901367
226.562500	-65.777885
234.375000	-65.872070
242.187500	-66.296745
250.000000	-66.332451
257.812500	-66.485298
265.625000	-66.783455
273.437500	-66.445869
281.250000	-66.460030
289.062500	-66.610252
296.875000	-66.637444
304.687500	-66.992767
312.500000	-66.724670
320.312500	-66.375229
328.125000	-66.699997
335.937500	-66.864517
343.750000	-66.682999
351.562500	-66.860588
359.375000	-66.525597
367.187500	-66.763214
375.000000	-66.680496
382.812500	-66.454704
390.625000	-66.637955
398.437500	-66.217834
406.250000	-66.201332
414.062500	-66.174263
421.875000	-66.311951
429.687500	-66.243797
437.500000	-66.099815
445.312500	-66.049080
453.125000	-65.814606
460.937500	-65.775505
468.750000	-65.326324
476.562500	-65.322182
484.375000	-65.520164
492.187500	-65.423607
500.000000	-64.848061
507.812500	-64.970909
515.625000	-64.951385
523.437500	-64.603584
531.250000	-64.413620
539.062500	-64.252838
546.875000	-64.349426
554.687500	-64.008148
562.500000	-63.646732
570.312500	-63.584904
578.125000	-63.324257
585.937500	-62.916954
593.750000	-62.494583
601.562500	-62.397903
609.375000	-62.140717
617.187500	-61.859333
625.000000	-61.277424
632.812500	-61.325466
640.625000	-60.994652
648.437500	-60.614704
656.250000	-60.018909
664.062500	-59.953690
671.875000	-59.467529
679.687500	-58.772537
687.500000	-58.680798
695.312500	-57.978245
703.125000	-57.443027
710.937500	-56.580330
718.750000	-56.110901
726.562500	-55.752792
734.375000	-54.629719
742.187500	-53.976582
750.000000	-53.336914
757.812500	-52.288433
765.625000	-51.319153
773.437500	-50.122101
781.250000	-49.029255
789.062500	-47.976276
796.875000	-46.619137
804.687500	-45.836430
812.500000	-45.325977
820.312500	-44.923988
828.125000	-44.861866
835.937500	-45.555191
843.750000	-46.714771
851.562500	-47.712830
859.375000	-48.525616
867.187500	-49.415657
875.000000	-50.576584
882.812500	-51.865299
890.625000	-52.264500
898.437500	-52.687302
906.250000	-53.309437
914.062500	-53.890293
921.875000	-54.778126
929.687500	-55.048782
937.500000	-55.597588
945.312500	-55.916512
953.125000	-56.290379
960.937500	-56.663914
968.750000	-57.216541
976.562500	-57.598793
984.375000	-57.701538
992.187500	-58.339275
1000.000000	-58.537827
1007.812500	-58.960957
1015.625000	-58.986469
1023.437500	-58.841236
1031.250000	-58.726406
1039.062500	-59.044277
1046.875000	-59.496361
1054.687500	-59.807976
1062.500000	-59.567120
1070.312500	-59.885246
1078.125000	-60.070641
1085.937500	-60.162308
1093.750000	-60.250698
1101.562500	-59.957848
1109.375000	-59.739288
1117.187500	-59.793182
1125.000000	-60.135849
1132.812500	-60.322701
1140.625000	-60.563591
1148.437500	-60.646660
1156.250000	-60.747265
1164.062500	-60.805714
1171.875000	-61.256378
1179.687500	-61.644997
1187.500000	-61.819469
1195.312500	-61.642918
1203.125000	-61.731766
1210.937500	-61.432205
1218.750000	-61.634571
1226.562500	-61.412682
1234.375000	-61.308636
1242.187500	-61.280273
1250.000000	-61.035912
1257.812500	-60.944023
1265.625000	-61.046562
1273.437500	-60.638287
1281.250000	-60.569073
1289.062500	-60.351837
1296.875000	-60.154167
1304.687500	-60.025291
1312.500000	-59.839497
1320.312500	-59.881454
1328.125000	-59.642662
1335.937500	-59.751976
1343.750000	-59.722134
1351.562500	-59.570156
1359.375000	-59.364418
1367.187500	-59.218365
1375.000000	-58.811501
1382.812500	-58.247219
1390.625000	-58.916340
1398.437500	-58.526600
1406.250000	-57.917076
1414.062500	-57.358051
1421.875000	-56.913673
1429.687500	-56.659458
1437.500000	-56.051708
1445.312500	-55.709122
1453.125000	-55.612659
1460.937500	-55.413376
1468.750000	-54.878647
1476.562500	-54.475231
1484.375000	-54.171215
1492.187500	-54.026951
1500.000000	-53.382565
1507.812500	-53.029198
1515.625000	-52.973026
1523.437500	-52.341888
1531.250000	-51.535885
1539.062500	-50.591969
1546.875000	-49.901203
1554.687500	-49.025482
1562.500000	-48.188347
1570.312500	-47.566589
1578.125000	-47.001686
1585.937500	-45.994541
1593.750000	-45.248173
1601.562500	-45.109776
1609.375000	-44.448677
1617.187500	-44.068993
1625.000000	-43.533798
1632.812500	-43.285374
1640.625000	-43.104622
1648.437500	-43.575375
1656.250000	-43.952988
1664.062500	-44.434330
1671.875000	-44.662056
1679.687500	-45.222775
1687.500000	-45.647495
1695.312500	-46.372086
1703.125000	-47.313965
1710.937500	-48.057091
1718.750000	-48.606007
1726.562500	-49.188320
1734.375000	-49.421555
1742.187500	-49.751572
1750.000000	-50.622395
1757.812500	-51.113018
1765.625000	-51.472260
1773.437500	-51.802982
1781.250000	-51.992920
1789.062500	-52.308586
1796.875000	-52.727985
1804.687500	-53.144863
1812.500000	-53.490051
1820.312500	-53.518803
1828.125000	-54.168343
1835.937500	-54.167004
1843.750000	-54.470409
1851.562500	-54.505272
1859.375000	-54.631207
1867.187500	-54.968582
1875.000000	-55.490936
1882.812500	-55.619022
1890.625000	-55.172100
1898.437500	-55.097740
1906.250000	-55.583035
1914.062500	-55.883518
1921.875000	-55.681725
1929.687500	-55.899441
1937.500000	-55.952156
1945.312500	-55.771156
1953.125000	-55.787292
1960.937500	-55.739208
1968.750000	-55.756554
1976.562500	-55.986294
1984.375000	-56.165657
1992.187500	-55.807896
2000.000000	-55.711014
2007.812500	-55.727207
2015.625000	-55.534496
2023.437500	-55.487244
2031.250000	-55.532330
2039.062500	-55.384045
2046.875000	-55.777630
2054.687500	-55.681656
2062.500000	-55.460148
2070.312500	-55.118992
2078.125000	-54.905525
2085.937500	-54.806755
2093.750000	-54.871567
2101.562500	-54.524754
2109.375000	-54.481213
2117.187500	-54.292515
2125.000000	-54.050827
2132.812500	-53.603737
2140.625000	-53.677273
2148.437500	-53.406460
2156.250000	-53.481827
2164.062500	-53.024029
2171.875000	-53.185337
2179.687500	-52.682041
2187.500000	-52.109875
2195.312500	-52.069019
2203.125000	-52.008430
2210.937500	-51.405338
2218.750000	-51.362583
2226.562500	-51.351246
2234.375000	-50.594582
2242.187500	-50.461430
2250.000000	-49.717438
2257.812500	-49.244522
2265.625000	-48.951786
2273.437500	-48.418751
2281.250000	-47.793640
2289.062500	-47.503422
2296.875000	-46.412308
2304.687500	-46.168858
2312.500000	-45.397469
2320.312500	-44.858231
2328.125000	-43.945736
2335.937500	-43.217072
2343.750000	-42.210632
2351.562500	-41.485470
2359.375000	-41.215244
2367.187500	-41.399899
2375.000000	-41.003613
2382.812500	-40.489388
2390.625000	-40.286652
2398.437500	-40.061653
2406.250000	-39.543381
2414.062500	-39.742828
2421.875000	-39.651550
2429.687500	-39.583221
2437.500000	-39.527542
2445.312500	-39.335808
2453.125000	-39.358585
2460.937500	-39.312645
2468.750000	-39.740318
2476.562500	-39.716755
2484.375000	-40.242474
2492.187500	-40.394154
2500.000000	-40.915352
2507.812500	-41.503410
2515.625000	-41.862625
2523.437500	-41.925472
2531.250000	-42.907848
2539.062500	-43.935650
2546.875000	-44.409214
2554.687500	-45.047783
2562.500000	-45.639126
2570.312500	-46.098652
2578.125000	-45.839233
2585.937500	-46.188576
2593.750000	-46.786030
2601.562500	-47.007652
2609.375000	-47.194786
2617.187500	-47.510365
2625.000000	-48.026932
2632.812500	-48.215397
2640.625000	-48.193314
2648.437500	-48.202564
2656.250000	-48.433670
2664.062500	-48.688622
2671.875000	-49.223816
2679.687500	-49.530861
2687.500000	-49.508343
2695.312500	-49.688858
2703.125000	-49.871418
2710.937500	-49.728611
2718.750000	-49.954269
2726.562500	-50.159023
2734.375000	-49.739819
2742.187500	-49.946331
2750.000000	-49.967762
2757.812500	-49.868866
2765.625000	-49.862240
2773.437500	-49.776466
2781.250000	-49.975533
2789.062500	-50.370899
2796.875000	-50.208374
2804.687500	-50.083073
2812.500000	-50.055378
2820.312500	-50.029835
2828.125000	-49.720177
2835.937500	-50.017357
2843.750000	-49.769608
2851.562500	-49.523415
2859.375000	-49.249680
2867.187500	-49.355572
2875.000000	-48.849735
2882.812500	-49.375359
2890.625000	-49.075874
2898.437500	-49.086937
2906.250000	-49.091400
2914.062500	-48.579449
2921.875000	-48.219654
2929.687500	-48.462143
2937.500000	-48.463417
2945.312500	-47.908989
2953.125000	-48.005104
2960.937500	-47.456734
2968.750000	-46.798897
2976.562500	-46.467636
2984.375000	-46.551460
2992.187500	-46.552521
3000.000000	-46.318756
3007.812500	-45.843918
3015.625000	-45.335426
3023.437500	-44.791313
3031.250000	-44.372700
3039.062500	-44.259586
3046.875000	-43.682026
3054.687500	-43.061420
3062.500000	-42.528973
3070.312500	-41.876270
3078.125000	-41.861565
3085.937500	-41.247536
3093.750000	-40.733509
3101.562500	-40.374992
3109.375000	-40.200394
3117.187500	-40.013069
3125.000000	-39.548744
3132.812500	-39.128407
3140.625000	-38.993099
3148.437500	-38.825359
3156.250000	-38.742386
3164.062500	-39.150440
3171.875000	-39.164371
3179.687500	-39.598171
3187.500000	-39.578781
3195.312500	-39.528183
3203.125000	-39.584320
3210.937500	-39.749687
3218.750000	-39.894890
3226.562500	-39.955540
3234.375000	-40.039715
3242.187500	-40.326618
3250.000000	-40.746403
3257.812500	-40.814659
3265.625000	-40.967155
3273.437500	-41.715622
3281.250000	-41.964432
3289.062500	-42.171124
3296.875000	-41.989304
3304.687500	-42.327145
3312.500000	-43.193268
3320.312500	-43.654388
3328.125000	-44.277935
3335.937500	-45.214191
3343.750000	-45.374489
3351.562500	-46.425564
3359.375000	-47.062820
3367.187500	-47.778214
3375.000000	-48.415604
3382.812500	-49.486423
3390.625000	-50.300823
3398.437500	-50.923027
3406.250000	-51.535286
3414.062500	-52.228786
3421.875000	-53.019264
3429.687500	-53.726974
3437.500000	-54.249596
3445.312500	-54.823917
3453.125000	-55.454704
3460.937500	-56.200920
3468.750000	-57.008816
3476.562500	-57.742718
3484.375000	-58.410053
3492.187500	-58.797737
3500.000000	-59.658424
3507.812500	-60.286312
3515.625000	-60.792267
3523.437500	-61.441978
3531.250000	-62.202202
3539.062500	-62.911831
3546.875000	-63.323460
3554.687500	-64.112961
3562.500000	-64.747025
3570.312500	-65.539604
3578.125000	-66.168739
3585.937500	-66.462257
3593.750000	-66.935219
3601.562500	-67.668022
3609.375000	-68.354042
3617.187500	-69.097145
3625.000000	-69.640167
3632.812500	-69.945824
3640.625000	-71.138954
3648.437500	-71.716232
3656.250000	-71.700645
3664.062500	-72.630478
3671.875000	-73.280701
3679.687500	-73.937767
3687.500000	-74.556175
3695.312500	-75.447617
3703.125000	-75.990242
3710.937500	-76.480789
3718.750000	-77.185303
3726.562500	-77.607079
3734.375000	-77.664719
3742.187500	-77.753784
3750.000000	-78.077148
3757.812500	-78.754684
3765.625000	-79.265121
3773.437500	-79.523666
3781.250000	-80.295341
3789.062500	-80.958527
3796.875000	-81.743118
3804.687500	-82.431770
3812.500000	-83.205864
3820.312500	-84.446373
3828.125000	-85.521873
3835.937500	-86.875381
3843.750000	-88.410454
3851.562500	-89.891602
3859.375000	-91.618027
3867.187500	-94.191826
3875.000000	-96.878105
3882.812500	-99.500839
3890.625000	-102.137077
3898.437500	-106.089157
3906.250000	-110.239677
3914.062500	-114.424576
3921.875000	-119.303314
3929.687500	-125.146027
3937.500000	-130.904953
3945.312500	-137.781998
3953.125000	-145.189468
3960.937500	-150.757614
3968.750000	-154.095520
3976.562500	-154.758865
3984.375000	-154.976883
3992.187500	-155.084656
