Frequency (Hz)	Level (dB)
7.812500	-78.800018
15.625000	-76.156197
23.437500	-73.968140
31.250000	-73.087158
39.062500	-71.412308
46.875000	-69.170586
54.687500	-66.690865
62.500000	-65.593155
70.312500	-65.182190
78.125000	-64.621681
85.937500	-64.422478
93.750000	-64.039261
101.562500	-63.134506
109.375000	-62.726551
117.187500	-62.502022
125.000000	-61.724911
132.812500	-61.507027
140.625000	-61.078548
148.437500	-60.682941
156.250000	-60.263550
164.062500	-59.934837
171.875000	-59.277954
179.687500	-58.646946
187.500000	-58.195442
195.312500	-57.480690
203.125000	-56.581879
210.937500	-55.750774
218.750000	-54.784061
226.562500	-53.384380
234.375000	-52.138603
242.187500	-50.835178
250.000000	-48.914124
257.812500	-46.815876
265.625000	-44.686207
273.437500	-43.018482
281.250000	-43.241562
289.062500	-45.112206
296.875000	-47.117138
304.687500	-49.425278
312.500000	-50.750790
320.312500	-51.452518
328.125000	-52.526558
335.937500	-53.600792
343.750000	-54.233921
351.562500	-55.081470
359.375000	-55.268925
367.187500	-56.086529
375.000000	-56.368446
382.812500	-56.415730
390.625000	-56.795639
398.437500	-56.514843
406.250000	-56.580841
414.062500	-56.568409
421.875000	-56.701431
429.687500	-56.593689
437.500000	-56.349499
445.312500	-56.108223
453.125000	-55.582935
460.937500	-55.221638
468.750000	-54.265324
476.562500	-53.763226
484.375000	-53.382305
492.187500	-52.505833
500.000000	-51.032253
507.812500	-50.058792
515.625000	-48.643364
523.437500	-46.712883
531.250000	-44.532463
539.062500	-42.275124
546.875000	-40.992954
554.687500	-40.803505
562.500000	-42.283714
570.312500	-44.602142
578.125000	-46.789543
585.937500	-48.431961
593.750000	-49.569828
601.562500	-50.663010
609.375000	-51.561481
617.187500	-52.367439
625.000000	-52.754745
632.812500	-53.664204
640.625000	-54.098358
648.437500	-54.510185
656.250000	-54.644073
664.062500	-55.187103
671.875000	-55.279625
679.687500	-55.108269
687.500000	-55.511898
695.312500	-55.213409
703.125000	-55.078156
710.937500	-54.539860
718.750000	-54.388260
726.562500	-54.370487
734.375000	-53.484772
742.187500	-52.987125
750.000000	-52.521809
757.812500	-51.584217
765.625000	-50.709904
773.437500	-49.555908
781.250000	-48.423588
789.062500	-46.920055
796.875000	-44.922836
804.687500	-43.065979
812.500000	-41.068752
820.312500	-39.220947
828.125000	-38.715023
835.937500	-39.960018
843.750000	-42.239304
851.562500	-44.325603
859.375000	-45.892082
867.187500	-47.216194
875.000000	-48.622234
882.812500	-50.070480
890.625000	-50.572514
898.437500	-50.977318
906.250000	-51.525566
914.062500	-52.012363
921.875000	-52.724049
929.687500	-52.788696
937.500000	-53.080288
945.312500	-53.073223
953.125000	-53.061459
960.937500	-53.044502
968.750000	-53.202515
976.562500	-53.108009
984.375000	-52.742432
992.187500	-52.881958
1000.000000	-52.460239
1007.812500	-52.161934
1015.625000	-51.401371
1023.437500	-50.404751
1031.250000	-49.401859
1039.062500	-48.689579
1046.875000	-47.952747
1054.687500	-46.792168
1062.500000	-45.021832
1070.312500	-43.449566
1078.125000	-41.393471
1085.937500	-38.977261
1093.750000	-36.843319
1101.562500	-36.054756
1109.375000	-37.082878
1117.187500	-39.235352
1125.000000	-41.711552
1132.812500	-43.779621
1140.625000	-45.563530
1148.437500	-46.856647
1156.250000	-48.017353
1164.062500	-48.865391
1171.875000	-49.885899
1179.687500	-50.817184
1187.500000	-51.385929
1195.312500	-51.590805
1203.125000	-52.010551
1210.937500	-51.901451
1218.750000	-52.268929
1226.562500	-52.247166
1234.375000	-52.274807
1242.187500	-52.172676
1250.000000	-51.833515
1257.812500	-51.610828
1265.625000	-51.504810
1273.437500	-50.891991
1281.250000	-50.464874
1289.062500	-49.863575
1296.875000	-49.195343
1304.687500	-48.429184
1312.500000	-47.548378
1320.312500	-46.673512
1328.125000	-45.483372
1335.937500	-44.382107
1343.750000	-42.730392
1351.562500	-40.624153
1359.375000	-38.220921
1367.187500	-36.222191
1375.000000	-35.331226
1382.812500	-35.963409
1390.625000	-38.699402
1398.437500	-41.046417
1406.250000	-42.608112
1414.062500	-43.849827
1421.875000	-45.049637
1429.687500	-46.101749
1437.500000	-46.635456
1445.312500	-47.283527
1453.125000	-48.084915
1460.937500	-48.900200
1468.750000	-49.146309
1476.562500	-49.266411
1484.375000	-49.629711
1492.187500	-50.185326
1500.000000	-50.161377
1507.812500	-50.290726
1515.625000	-50.583889
1523.437500	-50.377899
1531.250000	-50.014317
1539.062500	-49.518543
1546.875000	-49.023655
1554.687500	-48.418625
1562.500000	-47.909863
1570.312500	-47.358639
1578.125000	-46.767704
1585.937500	-45.711891
1593.750000	-44.694996
1601.562500	-43.929817
1609.375000	-42.449142
1617.187500	-40.847786
1625.000000	-38.546669
1632.812500	-36.163715
1640.625000	-34.140930
1648.437500	-33.672493
1656.250000	-34.546257
1664.062500	-36.579090
1671.875000	-38.445114
1679.687500	-40.255344
1687.500000	-41.576225
1695.312500	-42.888935
1703.125000	-44.161095
1710.937500	-45.053486
1718.750000	-45.691292
1726.562500	-46.359161
1734.375000	-46.528732
1742.187500	-46.683479
1750.000000	-47.373749
1757.812500	-47.675812
1765.625000	-47.824814
1773.437500	-47.901993
1781.250000	-47.707150
1789.062500	-47.560036
1796.875000	-47.537689
1804.687500	-47.507439
1812.500000	-47.322903
1820.312500	-46.776752
1828.125000	-46.695919
1835.937500	-46.006767
1843.750000	-45.490406
1851.562500	-44.583965
1859.375000	-43.731506
1867.187500	-43.016720
1875.000000	-42.140770
1882.812500	-40.726349
1890.625000	-38.376194
1898.437500	-36.322136
1906.250000	-34.446655
1914.062500	-32.430389
1921.875000	-31.117964
1929.687500	-32.004818
1937.500000	-34.070530
1945.312500	-35.943085
1953.125000	-37.836689
1960.937500	-39.229527
1968.750000	-40.468838
1976.562500	-41.850403
1984.375000	-42.901337
1992.187500	-43.242298
2000.000000	-43.791573
2007.812500	-44.391171
2015.625000	-44.654095
2023.437500	-44.930443
2031.250000	-45.217995
2039.062500	-45.238922
2046.875000	-45.775612
2054.687500	-45.834461
2062.500000	-45.580925
2070.312500	-45.230801
2078.125000	-44.951191
2085.937500	-44.733994
2093.750000	-44.449322
2101.562500	-43.853477
2109.375000	-43.488953
2117.187500	-42.890648
2125.000000	-41.953667
2132.812500	-40.866783
2140.625000	-40.198914
2148.437500	-38.940559
2156.250000	-37.720161
2164.062500	-36.031418
2171.875000	-34.437263
2179.687500	-32.121979
2187.500000	-30.036543
2195.312500	-28.885616
2203.125000	-29.356348
2210.937500	-30.767189
2218.750000	-32.806381
2226.562500	-35.178181
2234.375000	-36.739044
2242.187500	-38.194515
2250.000000	-39.068302
2257.812500	-39.948494
2265.625000	-40.582138
2273.437500	-41.001938
2281.250000	-41.509640
2289.062500	-42.229443
2296.875000	-42.390285
2304.687500	-42.816593
2312.500000	-43.032597
2320.312500	-43.091396
2328.125000	-42.789726
2335.937500	-42.842625
2343.750000	-42.586647
2351.562500	-42.334545
2359.375000	-42.252102
2367.187500	-42.062141
2375.000000	-41.443840
2382.812500	-40.820278
2390.625000	-40.414783
2398.437500	-39.809452
2406.250000	-38.607590
2414.062500	-37.805389
2421.875000	-36.689415
2429.687500	-35.283733
2437.500000	-33.686325
2445.312500	-31.552223
2453.125000	-29.558210
2460.937500	-27.496725
2468.750000	-26.732269
2476.562500	-26.994684
2484.375000	-28.690096
2492.187500	-30.514040
2500.000000	-32.374058
2507.812500	-34.156322
2515.625000	-35.316490
2523.437500	-36.053410
2531.250000	-37.301628
2539.062500	-38.420876
2546.875000	-38.773296
2554.687500	-39.350761
2562.500000	-39.924088
2570.312500	-40.343399
2578.125000	-40.008362
2585.937500	-40.039753
2593.750000	-40.307686
2601.562500	-40.311981
2609.375000	-40.173447
2617.187500	-40.046600
2625.000000	-40.043148
2632.812500	-39.745106
2640.625000	-39.192101
2648.437500	-38.673195
2656.250000	-38.252834
2664.062500	-37.703369
2671.875000	-37.364384
2679.687500	-36.672928
2687.500000	-35.588703
2695.312500	-34.638027
2703.125000	-33.345093
2710.937500	-31.622540
2718.750000	-29.991465
2726.562500	-28.040529
2734.375000	-25.776747
2742.187500	-24.725229
